raw,Date,Time,Station
9/Nov 1:18PM Y-O-X,09-Nov,1:18PM,NPMYOX
Y/O/Z 6:16PM 10-Nov,10-Nov,6:16PM,YOZPMN
Y-I-W 7-Nov 6:54PM,07-Nov,6:54PM,YIWNPM
Y-I-Y 9:17PM 8-Nov,08-Nov,9:17PM,YIYPMN
YIZ 7/Nov 12:32PM,07-Nov,12:32PM,YIZNPM
Y/I/Z 12:32PM 6-Nov,06-Nov,12:32PM,YIZPMN
Y-O-Z 6:19PM 9-Nov,09-Nov,6:19PM,YOZPMN
Y:I:Y 9:21PM 7/Nov,07-Nov,9:21PM,YIYPMN
7/Nov Y:O:Y 10:25AM,07-Nov,10:25AM,NYOYAM
Y-I-W 8:31AM 10-Nov,10-Nov,8:31AM,YIWAMN
YOH 5:40PM 6/Nov,06-Nov,5:40PM,YOHPMN
10-Nov Y-I-Y 2:49PM,10-Nov,2:49PM,NYIYPM
7:34AM YIW 6/Nov,06-Nov,7:34AM,AMYIWN
2:44PM Y/I/Y 9-Nov,09-Nov,2:44PM,PMYIYN
6-Nov Y:I:X 10:29PM,06-Nov,10:29PM,NYIXPM
Y:I:X 6/Nov 6:54PM,06-Nov,6:54PM,YIXNPM
YIW 8:15AM 7/Nov,07-Nov,8:15AM,YIWAMN
9/Nov YOW 9:03PM,09-Nov,9:03PM,NYOWPM
Y:O:Y 7/Nov 6:43PM,07-Nov,6:43PM,YOYNPM
7-Nov 6:58PM Y-O-Z,07-Nov,6:58PM,NPMYOZ
Y/O/W 6/Nov 1:05PM,06-Nov,1:05PM,YOWNPM
10-Nov Y/O/W 2:04PM,10-Nov,2:04PM,NYOWPM
7:14PM 10/Nov YOX,10-Nov,7:14PM,PMNYOX
Y:I:W 12:02PM 6-Nov,06-Nov,12:02PM,YIWPMN
10-Nov 4:10PM Y-I-H,10-Nov,4:10PM,NPMYIH
9/Nov YIY 4:20PM,09-Nov,4:20PM,NYIYPM
Y/I/Z 9:35AM 10-Nov,10-Nov,9:35AM,YIZAMN
Y/I/H 2:06PM 9/Nov,09-Nov,2:06PM,YIHPMN
Y:I:W 7/Nov 1:00PM,07-Nov,1:00PM,YIWNPM
YIH 7:32PM 10/Nov,10-Nov,7:32PM,YIHPMN
8:59AM 9-Nov Y-I-Z,09-Nov,8:59AM,AMNYIZ
Y:O:X 8:09PM 7/Nov,07-Nov,8:09PM,YOXPMN
11:14AM 10/Nov Y:I:Y,10-Nov,11:14AM,AMNYIY
6/Nov 8:22AM YOH,06-Nov,8:22AM,NAMYOH
6-Nov Y/I/Z 7:44AM,06-Nov,7:44AM,NYIZAM
10/Nov 5:48PM Y:O:W,10-Nov,5:48PM,NPMYOW
12:58PM 9/Nov YIX,09-Nov,12:58PM,PMNYIX
6:45PM 9-Nov Y-O-Y,09-Nov,6:45PM,PMNYOY
2:16PM Y:O:Y 10-Nov,10-Nov,2:16PM,PMYOYN
7:30AM Y:I:W 10/Nov,10-Nov,7:30AM,AMYIWN
11:00AM 6-Nov Y/I/Z,06-Nov,11:00AM,AMNYIZ
8:12PM 8/Nov Y-O-X,08-Nov,8:12PM,PMNYOX
Y-I-X 9:23PM 6-Nov,06-Nov,9:23PM,YIXPMN
8-Nov 3:05PM Y-I-W,08-Nov,3:05PM,NPMYIW
10:48AM 7-Nov Y-I-Y,07-Nov,10:48AM,AMNYIY
Y-O-Y 8-Nov 1:19PM,08-Nov,1:19PM,YOYNPM
8:05AM 6-Nov Y/I/X,06-Nov,8:05AM,AMNYIX
11:14PM 8/Nov Y/I/Y,08-Nov,11:14PM,PMNYIY
7:16AM 8-Nov Y:O:X,08-Nov,7:16AM,AMNYOX
3:30PM YIZ 9-Nov,09-Nov,3:30PM,PMYIZN
7-Nov 4:23PM Y/O/Y,07-Nov,4:23PM,NPMYOY
10:39AM 7/Nov Y-I-H,07-Nov,10:39AM,AMNYIH
6-Nov Y/O/W 6:24PM,06-Nov,6:24PM,NYOWPM
10:36AM Y/O/W 7/Nov,07-Nov,10:36AM,AMYOWN
9/Nov Y:I:Z 1:59PM,09-Nov,1:59PM,NYIZPM
8-Nov 1:07PM Y:I:H,08-Nov,1:07PM,NPMYIH
Y:O:Y 8-Nov 11:54AM,08-Nov,11:54AM,YOYNAM
1:24PM Y-I-W 9/Nov,09-Nov,1:24PM,PMYIWN
YOW 11:06PM 7/Nov,07-Nov,11:06PM,YOWPMN
Y/O/X 9/Nov 10:16PM,09-Nov,10:16PM,YOXNPM
9/Nov 10:00AM Y/I/Z,09-Nov,10:00AM,NAMYIZ
10-Nov Y:O:H 10:03PM,10-Nov,10:03PM,NYOHPM
Y/O/W 12:08PM 7/Nov,07-Nov,12:08PM,YOWPMN
Y/O/W 10:07AM 8/Nov,08-Nov,10:07AM,YOWAMN
8:54AM 8/Nov Y-I-H,08-Nov,8:54AM,AMNYIH
5:49PM Y:O:Z 7/Nov,07-Nov,5:49PM,PMYOZN
Y/I/W 8:10AM 10-Nov,10-Nov,8:10AM,YIWAMN
4:02PM Y/I/W 9-Nov,09-Nov,4:02PM,PMYIWN
10-Nov YIZ 12:59PM,10-Nov,12:59PM,NYIZPM
9/Nov 8:26PM Y:I:X,09-Nov,8:26PM,NPMYIX
11:35AM 6-Nov Y:I:Z,06-Nov,11:35AM,AMNYIZ
6:59PM Y/I/Z 10-Nov,10-Nov,6:59PM,PMYIZN
7-Nov 8:15AM Y:I:Y,07-Nov,8:15AM,NAMYIY
Y-I-X 7:22AM 9-Nov,09-Nov,7:22AM,YIXAMN
10/Nov Y:I:X 4:52PM,10-Nov,4:52PM,NYIXPM
Y:O:W 9/Nov 10:07AM,09-Nov,10:07AM,YOWNAM
YIZ 9:02AM 7-Nov,07-Nov,9:02AM,YIZAMN
12:31PM Y-I-H 6/Nov,06-Nov,12:31PM,PMYIHN
Y:O:Y 1:55PM 7/Nov,07-Nov,1:55PM,YOYPMN
7-Nov 12:54PM YIX,07-Nov,12:54PM,NPMYIX
6/Nov 1:18PM Y:O:Y,06-Nov,1:18PM,NPMYOY
6/Nov YOW 8:03PM,06-Nov,8:03PM,NYOWPM
YIZ 7:43AM 9/Nov,09-Nov,7:43AM,YIZAMN
Y:O:W 7/Nov 12:38PM,07-Nov,12:38PM,YOWNPM
Y:O:X 10/Nov 6:15PM,10-Nov,6:15PM,YOXNPM
Y:O:X 9:46AM 10/Nov,10-Nov,9:46AM,YOXAMN
6/Nov 11:23AM Y:I:X,06-Nov,11:23AM,NAMYIX
7-Nov Y/I/Z 1:29PM,07-Nov,1:29PM,NYIZPM
7:23PM YOY 8/Nov,08-Nov,7:23PM,PMYOYN
YOH 2:30PM 9/Nov,09-Nov,2:30PM,YOHPMN
9:23PM 9-Nov Y:I:X,09-Nov,9:23PM,PMNYIX
9:02PM YOH 10-Nov,10-Nov,9:02PM,PMYOHN
6/Nov YIY 12:46PM,06-Nov,12:46PM,NYIYPM
Y:O:Z 7:37AM 10/Nov,10-Nov,7:37AM,YOZAMN
Y-O-H 2:00PM 6/Nov,06-Nov,2:00PM,YOHPMN
9-Nov Y-I-Y 10:11PM,09-Nov,10:11PM,NYIYPM
10/Nov Y-I-W 3:03PM,10-Nov,3:03PM,NYIWPM
Y/I/W 9-Nov 9:58AM,09-Nov,9:58AM,YIWNAM
8/Nov Y-I-W 7:51AM,08-Nov,7:51AM,NYIWAM
10:03AM 8/Nov YIZ,08-Nov,10:03AM,AMNYIZ
YIZ 2:01PM 6/Nov,06-Nov,2:01PM,YIZPMN
7:35PM 10-Nov Y-O-Z,10-Nov,7:35PM,PMNYOZ
9/Nov 6:40PM YOZ,09-Nov,6:40PM,NPMYOZ
Y-I-H 6:20PM 6-Nov,06-Nov,6:20PM,YIHPMN
8:50AM 6-Nov Y-O-Z,06-Nov,8:50AM,AMNYOZ
1:37PM Y/O/Z 10/Nov,10-Nov,1:37PM,PMYOZN
YOW 2:05PM 8-Nov,08-Nov,2:05PM,YOWPMN
YIW 6-Nov 8:31PM,06-Nov,8:31PM,YIWNPM
Y/O/X 5:35PM 8-Nov,08-Nov,5:35PM,YOXPMN
7:29PM Y/I/W 8/Nov,08-Nov,7:29PM,PMYIWN
Y:I:H 9-Nov 1:09PM,09-Nov,1:09PM,YIHNPM
7:03PM Y-O-H 10/Nov,10-Nov,7:03PM,PMYOHN
7/Nov 11:33AM Y/O/H,07-Nov,11:33AM,NAMYOH
YIY 9-Nov 7:15AM,09-Nov,7:15AM,YIYNAM
4:52PM 10-Nov Y/O/Y,10-Nov,4:52PM,PMNYOY
Y/O/Y 7:26AM 8-Nov,08-Nov,7:26AM,YOYAMN
11:43AM 6-Nov Y-O-X,06-Nov,11:43AM,AMNYOX
