ModelOff 2016 - Round 2 - Section 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Year Number,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,Period Start,,,,,,,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00
,,,,Period End,,,,Units,,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,2036-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01,,General inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tax rate,,,,,[%],,0.32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation,,,,,[%],,,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Discount rate,,,,,[%],,0.11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02,,Capital expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Class A,,,,,"[$m, real]",,,30,35,40,45,50,55,60,65,70,65,60,55,40,45,40,35,30,25,20,15
,,,Class B,,,,,"[$m, real]",,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
,,,Class C,,,,,"[$m, real]",,,80,77,74,71,68,65,62,59,56,53,50,47,44,41,38,35,32,29,26,23
,,,Class D,,,,,"[$m, real]",,,200,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,200,0
,,,Class E,,,,,"[$m, real]",,,30,20,22,22,22,25,22,24,29,22,27,21,29,27,30,29,22,26,30,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03,,Depreciation assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Declining,Straight,Units,Sum,,,,,,,,,,,,,,,,,,,,,,,
,,,,balance,line,of,of the,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,production,years,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,annual %,useful life,,useful life,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[%],[years],[$m],[years],,,,,,,,,,,,,,,,,,,,,,,
,,,Class A,0.4,12,see below,12,,,,,,,,,,,,,,,,,,,,,,,
,,,Class B,0.05,9,see below,9,,,,,,,,,,,,,,,,,,,,,,,
,,,Class C,0.15,7,see below,7,,,,,,,,,,,,,,,,,,,,,,,
,,,Class D,0.2,15,see below,15,,,,,,,,,,,,,,,,,,,,,,,
,,,Class E,0.15,24,see below,24,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04,,Depreciation - units of production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,useful life,,,total,,,,,,,,,,,,,,,,,,,,,,
,,,,,[years],,,[%],,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20
,,,Class A,,12,,,1,,,0.15,0.13,0.11,0.08,0.02,0.12,0.03,0.08,0.06,0.01,0.13,0.07999999999999996,,,,,,,,
,,,Class B,,9,,,1,,,0.14,0.22,0.1,0.1,0.07,0.02,0.05,0.24,0.06000000000000005,,,,,,,,,,,
,,,Class C,,7,,,1,,,0.16,0.12,0.03,0.27,0.13,0.25,0.039999999999999925,,,,,,,,,,,,,
,,,Class D,,15,,,1,,,0.04,0.02,0.08,0.03,0.05,0.14,0.08,0.07,0.05,0.02,0.05,0.07,0.02,0.08,0.19999999999999984,,,,,
,,,Class E,,24,,,1,,,0.04,0.19,0.08,0.04,0.19,0.03,0.12,0.01,0.11,0.14,0.04999999999999993,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,End Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
