ModelOff 2017 - Round 1 - Section 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Period Start,,,,,,,,2017-12-01,2018-01-01 00:00:00,2018-07-01 00:00:00,2019-01-01 00:00:00,2019-07-01 00:00:00,2020-01-01 00:00:00,2020-07-01 00:00:00,2021-01-01 00:00:00,2021-07-01 00:00:00,2022-01-01 00:00:00,2022-07-01 00:00:00,2023-01-01 00:00:00,2023-07-01 00:00:00,2024-01-01 00:00:00,2024-07-01 00:00:00,2025-01-01 00:00:00,2025-07-01 00:00:00,2026-01-01 00:00:00,2026-07-01 00:00:00,2027-01-01 00:00:00,2027-07-01 00:00:00,2028-01-01 00:00:00,2028-07-01 00:00:00,2029-01-01 00:00:00,2029-07-01 00:00:00,2030-01-01 00:00:00,2030-07-01 00:00:00,2031-01-01 00:00:00,2031-07-01 00:00:00,2032-01-01 00:00:00,2032-07-01 00:00:00,2033-01-01 00:00:00,2033-07-01 00:00:00,2034-01-01 00:00:00,2034-07-01 00:00:00,2035-01-01 00:00:00,2035-07-01 00:00:00
,,,,Period End,,,Units,,Sum,,,2017-12-31,2018-06-30 00:00:00,2018-12-31 00:00:00,2019-06-30 00:00:00,2019-12-31 00:00:00,2020-06-30 00:00:00,2020-12-31 00:00:00,2021-06-30 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-12-31 00:00:00,2024-06-30 00:00:00,2024-12-31 00:00:00,2025-06-30 00:00:00,2025-12-31 00:00:00,2026-06-30 00:00:00,2026-12-31 00:00:00,2027-06-30 00:00:00,2027-12-31 00:00:00,2028-06-30 00:00:00,2028-12-31 00:00:00,2029-06-30 00:00:00,2029-12-31 00:00:00,2030-06-30 00:00:00,2030-12-31 00:00:00,2031-06-30 00:00:00,2031-12-31 00:00:00,2032-06-30 00:00:00,2032-12-31 00:00:00,2033-06-30 00:00:00,2033-12-31 00:00:00,2034-06-30 00:00:00,2034-12-31 00:00:00,2035-06-30 00:00:00,2035-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01,,Senior 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opening balance,,,,[$],10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Final repayment date,,,,[date],2023-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interest,,Date Start,Date End,,,Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[date],[date],,,[% p.a.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rate 1,2018-01-01 00:00:00,2019-12-14 00:00:00,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rate 2,2019-12-15 00:00:00,2021-04-04 00:00:00,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rate 3,2021-04-05 00:00:00,2023-10-24 00:00:00,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rate 4,2023-10-25 00:00:00,2023-12-31 00:00:00,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02,,Senior 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opening balance,,,,[$],10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Repayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,First repayment date,,,,[date],2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Repayment amount,,,,[$],1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interest capiitalised until,,,,[date],2023-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interest rate,,,,[% p.a.],0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03,,Reserve Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Months of debt service to reserve for,,,,,[months],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Major maintenance account look forward profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Year n+1,,,,[%],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Year n+2,,,,[%],0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Year n+3,,,,[%],0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Major maintenance costs,,,,,[$ nominal],,,,,,73092.09792639977,26820.5671321037,8703.41491647848,95829.48798072721,55271.29321111428,33716.89319239687,23495.810908215943,49706.545477399246,4413.153084847599,58479.120545451435,54721.72507647711,73752.41742634523,7935.6963672138845,49279.50498107708,87670.46892570533,9586.616463892828,80961.83099680748,91064.35367227667,65837.33363289462,11925.239216300331,74666.54056604218,92820.3648314648,50698.87512938874,67231.20507477636,30120.496947803975,24843.132594042072,88616.89616336337,69638.4313800627,12577.035504995481,52377.857345159064,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04,,Shareholder loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
